Date,Time,Final Value,Annual Return,Sharpe Ratio,Sortino Ratio,Max Drawdown,Avg Drawdown,Normalized Score,Focus Annual Return,Focus Sharpe Ratio,Focus Sortino Ratio,Focus Max Drawdown,Focus Avg Drawdown,Focus Normalized Score,Blended Score,Lookback Period 1,Lookback Period 2,Lookback Period 3,Central Annual Return,Central Sharpe Ratio,Central Sortino Ratio,Central Max Drawdown,Central Avg Drawdown,Std Annual Return,Std Sharpe Ratio,Std Sortino Ratio,Std Max Drawdown,Std Avg Drawdown,focus start date,focus date end
9/12/25,12:57:31,"$1,383,918,627 ",40.64%,1.32539,1.28,-69.13%,-13.07%,-0.613,70.15%,2.40324,2.404,-25.73%,-5.92%,4.361,0.879,95,193,194,0.435,1.45,1.4,-0.54,-0.12,0.06,0.135,0.12,0.315,0.0585,1/1/03,12/31/09
9/12/25,12:57:34,"$1,755,539,300 ",41.61%,1.36613,1.307,-63.73%,-13.63%,-0.46,74.04%,2.43826,2.454,-28.62%,-8.31%,4.526,1.035,103,140,160,0.435,1.45,1.4,-0.54,-0.12,0.06,0.135,0.12,0.315,0.0585,1/1/03,12/31/09
9/12/25,12:57:37,"$2,536,123,087 ",43.12%,1.41986,1.381,-52.31%,-12.72%,-0.103,71.73%,2.37911,2.425,-27.84%,-7.97%,4.329,1.226,119,149,198,0.435,1.45,1.4,-0.54,-0.12,0.06,0.135,0.12,0.315,0.0585,1/1/03,12/31/09
9/12/25,12:57:39,"$2,515,546,635 ",43.08%,1.38828,1.337,-69.65%,-13.81%,-0.372,75.65%,2.59185,2.611,-25.73%,-5.74%,5.175,1.292,143,159,197,0.435,1.45,1.4,-0.54,-0.12,0.06,0.135,0.12,0.315,0.0585,1/1/03,12/31/09
9/12/25,12:57:47,"$2,702,137,789 ",43.38%,1.39419,1.374,-61.92%,-11.82%,-0.175,78.01%,2.62007,2.678,-25.73%,-5.80%,5.405,1.499,177,177,180,0.435,1.45,1.4,-0.54,-0.12,0.06,0.135,0.12,0.315,0.0585,1/1/03,12/31/09
9/12/25,12:57:49,"$8,468,673,006 ",48.18%,1.54476,1.518,-53.99%,-10.32%,0.55,76.83%,2.58335,2.621,-25.73%,-5.96%,5.21,1.948,184,186,189,0.435,1.45,1.4,-0.54,-0.12,0.06,0.135,0.12,0.315,0.0585,1/1/03,12/31/09
9/12/25,12:58:15,"$6,981,925,369 ",47.35%,1.58269,1.544,-52.31%,-10.43%,0.629,84.92%,2.81719,2.901,-25.73%,-5.74%,6.301,2.33,113,136,160,0.435,1.45,1.4,-0.54,-0.12,0.06,0.135,0.12,0.315,0.0585,1/1/03,12/31/09
9/12/25,12:59:27,"$26,300,406,325 ",53.09%,1.67244,1.7,-52.31%,-9.72%,1.239,78.12%,2.52924,2.649,-27.84%,-8.32%,5.126,2.405,109,131,175,0.435,1.45,1.4,-0.54,-0.12,0.06,0.135,0.12,0.315,0.0585,1/1/03,12/31/09
9/12/25,12:59:42,"$18,969,974,801 ",51.66%,1.63377,1.654,-52.31%,-10.65%,1.025,81.72%,2.67728,2.767,-27.84%,-7.74%,5.682,2.422,106,141,181,0.435,1.45,1.4,-0.54,-0.12,0.06,0.135,0.12,0.315,0.0585,1/1/03,12/31/09
9/12/25,13:00:55,"$4,796,798,500 ",45.77%,1.41335,1.398,-71.65%,-14.43%,-0.266,55.03%,1.87848,1.776,-45.47%,-10.89%,3.309,1.521,235,237,242,0.425,1.45,1.4,-0.58,-0.125,0.04,0.18,0.04,0.225,0.015,1/1/03,12/31/09
